Francais,Malagasy,Anglais
mère (une),reny,mother (a)
neveu (un),zanak' anabavy,"nephew (a),niece (a)"
nièce (une),zanak' anabavy,"nephew (a),niece (a)"
nourrice (une),reny,mother (a)
oncle,"anadahin-dreny,belahy,dadafara,dadatoa,rahalahin-dray,zandrindray",uncle
oncle (un),ray,father (a)
orphelin,"asorotany tsy satry,benje,kamboty",orphan
orphelin (un),asorotanitsisatry,orphan (an)
papa,baba,"dad,father"
parenté (la),tamingana,"family,relatives"
parentèle (une),fianakaviana,family (a)
parent éloigné,havan-tetezina,distant relative
parent (le),tamingana,"family,relatives"
parent lointain,havan-tetezina,distant relative
parent,"fofon-kavana,havana avy any dilambato,havan-davitra,mpihavana",relative
parent proche (un),"atin-kavana,havana akaiky","consanguinity (a),relation (near),relative (a close)"
parents et enfants,"am-pianahana,fianahana,pianake",parents with children
parent (un),havana,"ally (an),friend (a),relative (a)"
père adoptif (un),ray,father (a)
père est vivant (dont le),velon-dray,father is living (whose)
père (leur),rainy,"father (her),father (his),fathers (their),father (their)"
père,"baba,kaky","dad,father"
père,"belahy,idada,ikaky",father
pères (leurs),rainy,"father (her),father (his),fathers (their),father (their)"
père (son),rainy,"father (her),father (his),fathers (their),father (their)"
père (un),"aba,angy,ray","father (a) (celui qu'on),father (a)"
petite-fille,zafy,grandchild
petit-enfant,zafy,grandchild
petit-fils,"loa-jafy,zafy",grandchild
progéniture (une),solofo,"descendant (a),heir (an)"
rejeton (un),solofo,"descendant (a),heir (an)"
second fils (le),lahiaivo,second son (the)
soeur de lait (une),iray nono,"foster brother (a),foster sister (a)"
soeur d'une femme (une),rahavavy,sister of a woman (a)
soeur d'un homme (une),anabavy,sister of a man (a)
soeur,"mianadahy,mirahavavy,razandry,razoky","brother (to),brother,sister (to),sister"
soeur (une),"anakavy,ranabavy",sister (a)
supérieur,zoky,"elder brother,elder sister,senior"
suprême,fara,"child,descendant,heir,last,offspring,progeny,succession,supreme"
tante maternelle (une),reny,mother (a)
tante paternelle (une),reny,mother (a)
tante,"anabavin-dray,nenifara,nenitoa,rahavavin-dreny",aunt
religion et liturgie,fivavahana,religion and liturgy
adventiste (un),advantista,adventist (an)
alléluia (un),aleloia,"alleluia (an),hallelujah (an)"
amen,amena,amen
ange (un),"anjele,anjely",angel (an)
archevêque (un),arseveka,archbishop (an)
archidiocèse (un),arsidiosezy,archdiocese (an)
athéisme (un),jentilisa,atheism (an)
autel (un),"alitara,otely",altar (an)
baptême (un),badisa,baptism (a)
baptême (un),batisa,baptism (a)
baptisé,vita batisa,baptized
batême (un),batemy,baptism (a)
bible (la),baibole,bible (the)
bouddhisme (le),bodisma,buddhism (the)
calice (un),kalisy,chalice (a)
cardinal (un),kardinaly,cardinal (a)
carême,karemy,lent
catéchisme (un),"katekisma,katesizy",catechism (a)
catéchiste (un),"katekista,katesista","catechist (a),catechist (un)"
cathédrale (une),katedraly,cathedral (a)
chemin de croix,lalan' ny hazofijaliana,"way of sorrows,way of the cross"
chrétien,kristianina,christian (a)
christianisme (le),kristianisma,christianism
communion,fandraisana,lord's supper
communion (la),fandraisana ny fanasan' ny tompo,lord's supper (the)
concile (un),"kaonsily,konsily",concil (a)
conclave (un),konklavy,conclave (a)
confesser (se),mikonfesy,"confession (to go to),confess (to)"
confesse (une),konfesy,confession (a)
confession (une),konfesy,confession (a)
croix (la),lakoroa,cross (the)
démon (un),"demony,devoly",devil (a)
diacre (un),"diakona,diakra",deacon (a)
dieu,"andriamanitra,zanahary","god (a),god"
dieu (un),zanahary,"god (a),god"
diocèse (un),diosezy,diocese (a)
eden,edena,eden
enfer,"afobe,helo",hell
excommunion (une),eskomonie,excommunication (an)
exorcise (avec quoi on),afaditra,avert evil (anything to avert)
frère (un),frera,brother (a)
hérétique,heretika,"heretical,heretic"
icroix (la sainte),lakroa,cross (the holy)
islam,silamo,"islam,muslim (a)"
laïc (un),lahika,layman (a)
laïque (un),laika,layman (a)
luthérien )un),loterana,lutherian (a)
martyr (un),maritiora,martyr (a)
messe (une),lamesa,mass (a)
musulman (un),silamo,"islam,muslim (a)"
noël,"krismasy,noely",christmas
pape (le),papa,pope (the)
pâques,paka,easter
prêtre (un),pretra,priest (a)
prophète (un),mpaminany,prophet (a)
protestant (un),protestanta,protestant (a)
pupitre (un),polipitra,pulpit (a)
purgatoire,afofandiovana,purgatory
sainte-cène (la),fandraisana ny fanasan' ny tompo,lord's supper (the)
sainte-cène,fandraisana,lord's supper
sainte (une),masimbavy,saint (a)
saint (un),masindahy,saint (a)
sermon (un),sermona,sermon (a)
temple (un),tempoly,temple (a)
théologie (une),teolojia,theology (a)
vicaire (un),vikera,vicar (a)
rimes,adirima,rimes
santé,fahasalamana,health
abcès (un),"baivonto,boiboika,kibay,kifongo,vaivonto","abscess (an),bubo (a),ulcer (an)"
agacement,dilo,teeth set on edge (pain of)
ampoule (avoir une),miempaka,"blister (to),swell (to)"
angine,aretin-tenda,sore throat
anthrax (un),"fongo,kifongo","abscess (an),boil (a),bubo (a),carbuncle (a)"
asperge (ce qui s'),fanafana,medicine
asthme,"sefo,sohika",asthma
athrepsie (une),alofisaka,disease of children (a)
attelle (une),hamatra,splint (a)
avarie,kilema,"blemish,deformity,scar"
aveugle,"gila,jamba",blind
avorté (ayant),afa-jaza,"aborted,miscarriage (having a),miscarried"
avortement,fanalan-jaza,abortion
bain (un),evoka,"bath (a),steam (a)"
ballonné (être),mianiany,"bloated (to be),puffed (to be),swollen (to be)"
bancal,"bingo,kolepaka","bandy-legged,bow-legged,crooked in the joints,crooked in the knees,limping,loose"
baver,mandoa vory,froth
bigleux,njola,"cross-eyed,squint-eyed"
bilharzie,"kankandio,sokoraty","bilharzia,schistosome"
blennorragie,"angatra,famehy,fiandry","dyschuria,gonorrhea"
blessure (une),"fery,ratra","hurt (a),injury (an),sore (a),sorrow (a),ulcer (an),wound (a)"
boiter,mandringa,limp (to)
boiteux,kolepaka,"limping,loose"
bonheur (un),fahasalamàna,health (a)
borborygmes (produire des),mikoraraika,rumble (to)
borgne,"poaka,poa-maso,toka-maso",one-eyed
boursouflé,bongo,swollen
bouton,"forofotra,mony,tety,tsikodimeny",pimple
brûlure (une),hay an-tsoson-koditra,burn (a)
bubon (un),kifongo,"abscess (an),bubo (a)"
cancer (un),fery mihady,sore (a)
capote (une),fimailo,condom (a)
carie,"areti-nify,oli-manara,oli-nify",toothache
charme,"fandrenohana,ody","charm,fetish,medicine"
chassieux,didimaso,blear-eyed
chétif,saozanina,"feeble,sickly,weak"
chique,parasy lafrika,"chigoe flea,jigger"
cicatrices (des),holatra,"scar (a),scars"
cicatrice (une),"hamatra,holatra","scar (a),scars"
circoncire,mandidy foitra,"circumcise (to),navel string (to cut the)"
circoncis,"finora,voafora",circumcised
circoncision,hasoavan-jaza,circumcision
circoncision (une),"didiam-poitra,didy foitra,fora,foza",circumcision (a)
clocher,mandringa,limp (to)
comparé,mitaha,"compared (to be),compare oneself (to)"
connaissance (reprendre),mitambelona,"come to,consciousness (to regain)"
constipation,mifarina,constipated
constipé,mitohana,constipated
coqueluche (une),kohadavareny,whooping cough (a)
cordon ombilical (couper le),mandidy foitra,"circumcise (to),navel string (to cut the)"
croûte,tako-pery,scab
cutanée,mamorofotra,scabies
dartre,"anakandroana,anakandro,angadrano,kesa,kola,taheny",dandruff
débile,marofy,"feeble,ill"
défaut,kilema,"blemish,deformity,scar"
déformation,kilema,"blemish,deformity,scar"
démangeaison,"hidihidy,malailay","itchy,itch,scratchy"
dentiste,mpanao nify,dentist
dents (qui a mal aux),marary olitra,toothache (suffering from)
devin,ombiasa,"diviner,medicine man,shaman"
devin (un),mpimasy,"diviner (a),medicine man (a)"
diarrhée,"piriritra,pororoky,tsipitapita,tsirirìka",diarrhea
dispensaire,tobin-pahasalamana,hospital
douleur,"faharariana,fanaintainana,fangotsokotsoka,hirifiry,hotsohotso,mangorintsina,mangotsoka,maniotsioka,sinta","ache,burning,illness,pain,throbbing"
douleur interne (une),"horintsina,horontsina",pain (an internal)
douloureux (être),manaintaina,throb (to)
dur d'oreille,"marenina,vavasa",deaf
éclisse (une),hamatra,splint (a)
écorché (être),miempaka,"blister (to),swell (to)"
écumer,mandoa vory,froth
édenté,banga ridana,toothless (to be)
éducation (une),fitaizana,"caring for (act of),nursing (act of)"
élancement,"fanaintainana,hintsina","burning,throbbing"
élancement (produire des),manaintaina,throb (to)
éléphantiasis,be tongotra,elephantiasis
embonpoint,hatavezana,"corpulence,fatness"
empressement (un),sefosefo,"breathless,hurry,panting"
enflé,bongo,swollen
enflure,"kizavo,vindina,vonto",swelling
engelure (une),vaivonto,abscess (an)
enrhumé du cerveau,"serena,seriserena",cold in the head (afflicted with a)
enrhumé,mararin' ny sery,"cold (ill with a),ill with a cold"
entorse,"folakalefitry,mioritra,nikaritsy,vika",sprained (to be)
entorsé (être),mivika,sprained (to be)
entorse (faire une),manapitsoka,dislocate a joint (to)
envie,hidihidy,itch
épilepsie,androbe,epilepsy
épilepsie (genre d'),ambo,epilepsy (sorte d')
éruption,mamorofotra,scabies
estropié,kilemaina,"crippled,maimed"
éternuement,evina,sneeze
éternuer,mievina,sneeze (to)
excroissance de chair (une),kambo,"mole (a),skin  growth (a)"
faible dans les articulations,godragodra,feebleness about the joints
faim,hanoanana,hunger
fatigue,"havizanana,sinta","fatigue,pain,weariness"
fausse couche,afa-jaza,"aborted,miscarriage (having a),miscarried"
fièvre,fanaviana,fever
fièvre,manavy,ill
fièvre (la),tazo,"fever (a),malaria"
fièvre qui diminue,miafa,recovering from sickness (to be)
fiévreux,manavy,ill
fiévreux,tazoina,feverish
foulé,mioritra,sprained (to be)
frissonnant,tora-kovitra,tremble
furoncle (un),"fongo,vay","abscess (an),boil (a),carbuncle (a)"
gale,"hatina,kizavo,lagaly","itch,scabies"
glousser,mikoraraika,rumble (to)
gonflé (être),mianiany,"bloated (to be),puffed (to be),swollen (to be)"
gonflé,"bongo,danidany",swollen
goutte,gaotra,gout
graisse,hatavezana,"corpulence,fatness"
gravé de la variole,soki-nendra,pockmarks
gravelle,fiafia,gravel
grippe (la),fofoka,flu (the)
guéri,fahasitranana,healed
guérir,manasitrana,heal (to)
guérison (moyen de),fanafana,medicine
haletante (respiration),sefosefo,"breathless,hurry,panting"
halètement (un),sefosefo,"breathless,hurry,panting"
hâte (une),sefosefo,"breathless,hurry,panting"
hôpital,"hopitaly,tobin-pahasalamana",hospital
huile de ricin,tseroka,castor oil
hydropique,"darina,manirano","dropsy,edema"
hydropisie,manirano,"dropsy,edema"
incurable,tsy azom-panafana,incurable
infirme,kilemaina,"crippled,maimed"
infirmité,kilema,"blemish,deformity,scar"
inguérissable,tsy azom-panafana,incurable
insensible,marenina,deaf
jaunisse,"angorosy,ngorongosy",jaundice
ladrerie (une),voavary,"cyst (a),tapeworm (a)"
lassitude,havizanana,"fatigue,weariness"
latex,nana,pus
lavement (un),fanasana tsinay,enema (an)
lèpre,"andro,habokana,haboka",leprosy (the)
lèpre (une),"boka,kimavo","leper (a),leprosy (a),leprous,scabby"
lépreux,"boka,mavointena,ratsy hoditra","leper (a),leprosy (a),leprous,scabby"
lépreux (un),boka,"leper (a),leprosy (a),leprous,scabby"
louche,njola,"cross-eyed,squint-eyed"
loupe (une),kambo,"mole (a),skin  growth (a)"
malade,"farary,manavy,marary,marisa",ill
maladie de foie,bearika,disease of the liver
maladie de la peau (une),ladilady,skin disease (a)
maladie d'enfant (une),alofisaka,disease of children (a)
maladie des gencives,"solohitra,solohotra",gum disease
maladie,"elo,faharariana,rofy,sembana,sovoka,tohatohatra",illness
maladie (une),"aretina,faharisarisana,jany,risarisa,tambavy","illness (an),sickness (a)"
maladif,"farary,farofy,marofy,saozanina","feeble,ill,invalid,sickly,valetudinarian,weak"
malaise,"manelonelo,rofy",illness
malaria (la),tazo,"fever (a),malaria"
mal aux dents,olitra,toothache
mal (faire très),manaintaina,throb (to)
médical (soin),fitsaboana,"medical care,nursing"
mesurer,mitaha,"compared (to be),compare oneself (to)"
microbe,"mikrôby,otrikaretina",microbe
muet,moana,"dumb,mute,speak (unable to)"
mutilé,kilemaina,"crippled,maimed"
myope,"fohy fijery,fohy maso,pahina","dim eyes,near-sighted"
nausée,"dimpoana,misalebolebo","nauseated,sickly,squeamish"
nourrir (action de),fitaizana,"caring for (act of),nursing (act of)"
nourrisson,taiza,"care of children,nursing child"
paix (une),fahasalamàna,health (a)
paludisme (le),tazo,"fever (a),malaria"
panaris,"hararaotra,kaka,panarisy",ulceration
panaris (un),tsevo-drano,whitlow (a)
parturition (se reposer après),mifana,parturition (to rest after)
pellicule,angadrano,dandruff
peste,pesta,plague
pierre,fiafia,gravel
pilule (une),pilina,pill (a)
plaie,"bae,ferena",sore
plaie (une),"bay,fery","boil (a),hurt (a),sore (a),sorrow (a),ulcer (an),wound (a)"
pleurnichement (un),sefosefo,"breathless,hurry,panting"
point de côté,tevika,spasm
poison (un),poizina,poison (a)
poste sanitaire,tobin-pahasalamana,hospital
presbyte,lava maso,far-sighted
préservatif (un),fimailo,condom (a)
prurit,hidihidy,itch
purifier (manière de),fanafana,medicine
purulente (matière),nana,pus
pus,nana,pus
pustule (une),"hamatra,kibolabola,voavary","cyst (a),tapeworm (a)"
quinine,kininina,quinine
rage (la),"faharomotana,haromotana","rabbies,rabies"
rate,atodintazo,spleen
remède (matière donnnée comm),fanafana,medicine
remède (un),hasy,medecine (a)
respiration (une),fiainana,"breathing (act of),life (a)"
rhume (un),sery,cold (a)
ronflement,erotra,snore
rongé par la rouille,soki-nendra,pockmarks
rougeole (la),bonibony,"measles,protuberance (une),puffiness (a),swelling (a)"
rougeole (une),kitrotro,measles (the)
rubéole (la),bonibony,"measles,protuberance (une),puffiness (a),swelling (a)"
sage-femme (une),"mpampivelona,renin-jaza",midwife (a)
saignant abondamment,babarà,bleeding profusely
saigne abondamment (qui),babarà,bleeding profusely
saignée,fanalan-dra,"bleeding,blood-letting"
saigner abondamment,mibabarà,bleed (to)
saigner,mandeha ra,bleed
santé (une),fahasalamàna,health (a)
seringue,"basirano,serengy",syringe
silencieux,moana,"dumb,mute,speak (unable to)"
soigner (action de),fitaizana,"caring for (act of),nursing (act of)"
soigner,"mandamalama,mitsabo",nurse (to)
soigné,tsaboina,nursed
soins médicaux,fitsaboana,"medical care,nursing"
soins pour enfants,taiza,"care of children,nursing child"
sonde (une),bozy,catheter (a)
souffrance (causer de la),mampiferinaina,pain (to cause)
sourd,marenina,deaf
suppurer,mandeha nana,suppurate
surdité,"harenina,renina,tangoka",deafness
syphilis,"fandilofa,farasisa",syphilis
tartre,tai-nify,tartar
ténia,"kankam-pisaka,sakoitra,tsoko,viky vahy",tenia
tinter,mangintsina,ring (to)
tiraillement,fanaintainana,"burning,throbbing"
tordu,bingo,"bandy-legged,bow-legged,crooked in the joints,crooked in the knees"
toussant (appeler en),mikohaka,cough (to)
tousser,mikohaka,cough (to)
toux forte (une),koha-dambo,cough (a strong)
toux (une),kohaka,cough (a)
traite par des remèdes (qu'on),odiana,supplied with medicine (to be)
tremblant,tora-kovitra,tremble
tricocéphale,"sakoitra,viky vahy",tenia
tuberculeux,raiki-tampisaka,tuberculous
tuberculose,"aretin-tratra,harañane",tuberculosis
tuberculose (une),raboka,tuberculosis (a)
tumeur scrofuleuse (une),boiboika,ulcer (an)
typhoïde,"tazo tefoedra,tefoedra",typhoid
ulcère phagédénique (un),fery mihady,sore (a)
ulcère,dridra,ulcer
ulcère (un),boiboika,ulcer (an)
vapeur (une),evoka,"bath (a),steam (a)"
varicelle,nendram-boalavo,chicken pox
variole (la),nendra,smallpox (the)
vérole la petite),lavira,small-pox (the)
vérole (la),nendra,smallpox (the)
vérole,nendram-boalavo,chicken pox
ver,"kankana,kankanina,sakoitra,tsoko,viky","tenia,worm"
vie (revenir à la),mitambelona,"come to,consciousness (to regain)"
virus,"mikrôby,otrikaretina,viriosy,virosy",microbe
vomir,"dimpoana,mandoa,mihoaka,miorika,salosonina","nauseated,sickly,squeamish,vomit (to)"
vue courte (qui a la),pahina,dim eyes
vue faible (qui a la),pahina,dim eyes
sociologie,hainifiaraha-monina,sociology
esclave,andevo,slave
son,feo,sound
aboiement (un),vovò,barking (a)
aboyer,mivovò,bark (to)
battu,migana,knock (to)
bêlement,barareoka,bleating
beuglement,ma,lowing
beugler,mimamà,low [cattle] (to)
borborygme,gororoana,gurgling
bourdonnement,"hahohaho,reondreona","din,hum,noise,wrangling"
bourdonnement (un),"bobobobo,zozozozo",gurgling sound (a)
braire,maneno,"chirp (to),crow (to),ring (to),sound (to)"
brouhaha,hahohaho,"din,noise,wrangling"
bruissement (un),"bobobobo,karatsaka,zozozozo",gurgling sound (a)
bruit (action de frapper avec),katraka,noise (a)
bruit,"dao,ezinezina,fihoaka,hobahoba,jibôka,kady,karetsika,katrafoka,katrôkaka,kintsana,kiririka,migana,neno,sasasasa,tabataba,tefoka","bustle,clamour,explosion,knock (to),noise,racquet,sound,vociferation"
bruit de frottement,gidro,"creaking,noise"
bruit de pas,"gorodona,ngorodona",sound of feet
bruit sourd,ngadona,"noise (beating),noise (tremulous),sound (thumping)"
bruit (un),"feo,gidrogidro,ngodongodona,rohona","creaking (a),noise (a),report (a),sound (a hollow),sound (a),thud (a),thunder (a),voice (a)"
cacaber,mitsararàka,"screech (to),squawk (to)"
caqueter,mikoràka,cackle (to)
chanter,maneno,"chirp (to),crow (to),ring (to),sound (to)"
clameur,"babababa,tabataba","bustle,clamour,cry,noise,outcry,racquet,scream,vociferation"
clameur (une),koràka,outcry (an)
coassement (un),horaka,cries of a crowd
coasser,migoraidraika,croak (to)
confusion,tabataba,"bustle,clamour,noise,racquet,vociferation"
couinement,dridrodridro,squeaking sound
craquèlement,tefoka,sound
craquement,"dridrodridro,gidro","creaking,noise,squeaking sound"
craquement (un),"gidrogidro,karatsaka,kepoka","creaking (a),crunching sound (a),noise (a)"
craquer,migidrogidro,creak (to)
criailler,mitsararàka,"screech (to),squawk (to)"
cri,"babababa,dradradradra","crying,cry,outcry,scream,shouting,vociferating,weeping"
cri de défi (un),hiaka,"cry of defiance (a),cry of victory (a)"
cri de provocation (un),hiaka,"cry of defiance (a),cry of victory (a)"
cri de rat,gidro,"creaking,noise"
cri de victoire (un),hiaka,"cry of defiance (a),cry of victory (a)"
cri du canard,gaka,quacking of a duck
cri du corbeau,gaka,quacking of a duck
crier,maneno,"chirp (to),crow (to),ring (to),sound (to)"
cris d'une foule (des),horaka,cries of a crowd
cris perçants,kiakiaka,cries (piercing)
cri (un),feo,"report (a),sound (a),voice (a)"
désordre,"kotaba,tabataba","disorder,noise,upheaval"
écho,ako,echo
explosion,"ezinezina,neno","explosion,noise,sound"
explosion (une),rohona,"sound (a),thunder (a)"
froufrou,kasokasoka,"rustle,rustling,sound"
froufrouter,mikasaotsaoka,"rustle,rustling,sound,swish"
glouglou (un),bobobobo,gurgling sound (a)
gloussement (un),kolokolo,gobble (a turkey)
glousser,"mikolokolo,mikoraraika","gobble (to),rumble (to)"
grincement,"dridrodridro,gidro","creaking,noise,squeaking sound"
grincement (un),"dilotra,gidrogidro","creaking (a),noise (a)"
grincer,migidrogidro,creak (to)
grogner,mitrona,grunt (to)
grondement,erona,"growl,roar"
grondement (un),rohona,"sound (a),thunder (a)"
gronder,erona,"growl,roar"
hennir,mikoviaviaka,neigh (to)
hennissement,koviaviaka,neighing
hurlement de chien,aholo,howling of a dog
lamentation,"babababa,dradradradra","crying,cry,outcry,scream,shouting,vociferating,weeping"
meugler,mimamà,low [cattle] (to)
miaulement,meo,meow
miauler,mimeo,meow (to)
multitude,hahohaho,"din,noise,wrangling"
murmure,"gedrogedro,monomonona","bass,grumbling,muttering,noise,sound"
musique,hira,"music,play,song"
nasal,kentsona,nasal
nasillard,kentsona,nasal
plainte,"gedrogedro,monomonona","bass,grumbling,muttering,noise,sound"
rébellion,tabataba,"disorder,upheaval"
réprimander,erona,"growl,roar"
résonner,mikarantsana,"clang,sound"
résonner,"maneno,mibo,minantsanantsana","chirp (to),crow (to),ring (to),sound (to)"
retentir,"maneno,migana,mikorintsana,minantsanantsana","chirp (to),crow (to),knock (to),rattle (to),ring (to),sound (to),tinkle (to)"
retentissement d'un grelot,korintsana,tinkling (a)
retentissement,"ehoeho,neno","explosion,noise,sound"
révolution,tabataba,"disorder,upheaval"
rire (éclats de),kakakaka,laughter
ronflement,"erotra,fotraka",snore
ronfler,mitrona,grunt (to)
rugir,"erona,mitrona","growl,grunt (to),roar"
rugissement,erona,"growl,roar"
sifflant (action d'appeler en),siaka,whistling (a)
sifflement,"biririoka,pioka,piopioka","buzz,whiz"
sifflement (un),"siaka,zozozozo",whistling (a)
siffler (action de),siaka,whistling (a)
son de battement (un),doboka,thump (a)
son de tambour (donner un),midoboka,"sound like a drum (to),thump (to)"
son de tonnerre (un),rohondrohona,sound like thunder (a)
son d'un corps sonore (un),"nantsanantsana,nantsana","shrill sound (a),sound (a shrill)"
sonner creux,migoboka,sound hollow (to)
sonner,maneno,"chirp (to),crow (to),ring (to),sound (to)"
son retentissant (un),doboka,thump (a)
son,"doana,ezinezina,katrafoka,neno","explosion,noise,sound"
son (un),feo,"report (a),sound (a),voice (a)"
tapage,"fivatsavatsana,kitrana,kotaba,tabataba","brawling,bustle,clamour,disorder,noise,racquet,vociferation"
tonner,mikotroka,"roar (to),thunder (to)"
ton (un),feo,"report (a),sound (a),voice (a)"
trouble,tabataba,"disorder,upheaval"
tumulte,tabataba,"bustle,clamour,noise,racquet,vociferation"
verser un liquide bruyament,managororoana,pour out a liquid (to)
voix retentissante (une),"nantsanantsana,nantsana","shrill sound (a),sound (a shrill)"
voix sourde,gadragadra,rough voice
voix (une),feo,"report (a),sound (a),voice (a)"
sports,fanatanjahan-tena,sports
basket-ball,basketra,basketball
football,baolina kitra,"football,soccer"
ring,ringy,ring
symboles,eva,symbols
accolade (une),000000,curly brace (a)
a commercial (un),000000,"at sign (an),with"
apostrophe (une),000000,apostrophe (an)
arobase,000000,"at sign (an),with"
arrobase,000000,"at sign (an),with"
astérisque (un),"000000,kinta-maritsoratra",asterisk (an)
avec,000000,"at sign (an),with"
crochet aigu fermé (un),000000,angled bracket (close)
crochet aigu ouvert (un),000000,angled bracket (open)
crochet droit fermé (un),000000,square bracket (close)
crochet droit ouvert (un),000000,square bracket (open)
deux points,000000,colon (a)
dièse (une),000000,pound sign (a)
dollar (un signe),000000,dollar sign (a)
égal (signe),000000,equal sign (an)
esperluette (une),000000,ampersand (an)
guillemet (un),000000,quotation mark (a)
moins (signe),000000,"hyphen (an),minus sign (a)"
parenthèsec ouverte (une),000000,parenthesis (open)
parenthèse fermée (une),000000,parenthesis (close)
point d'exclamation (un),000000,exclamation point (an)
point d' interrogation (un),000000,question mark (a)
points de suspension (des),"000000,...","ellipsis (horizontal),suspension points"
point (un),000000,"full stop (a),period (a)"
point-virgule (un),000000,semicolon (a)
pour cent (un signe),000000,percent sign (a)
trait d' union (un),000000,"hyphen (an),minus sign (a)"
virgule (une),000000,comma (a)
technique,haitao,technology
altimètre,tondro haambo,altimeter
brûleur (un),vava fatana,burner (a)
buse,fantson-drano,spout
circuit électrique,olik' aratra,electrical circuit
courriel (un),mailaka,email (an)
écrou,vadin-tsaikiro,nut
émetteur,fandefasam-peo,"radio,transmitter"
émission,fandefasam-peo,"radio,transmitter"
gouttière,fantson-drano,spout
internet,interinety,internet
laminoir,fangarinana,mill
magnétophone (un),fangoronam-peo,tape recorder (a)
moteur,motera,motor
pare-brise,fitaratra arotsioka,windshield
pas de vis (un),rindra,thread (a)
radio,fandefasam-peo,"radio,transmitter"
rivet,"baibona,fantsimaty",rivet
télégramme,telegrama,telegram
télégraphe,telegrafy,telegraph
téléphone portable (un),"fenday,finday",cell phone (a)
téléphone (un),"tariby,telefaona,telefaonina",telephone (a)
vis (une),visy,screw (a)
temps,fotoana,time
âges (les),taona,"season (a),year (a)"
anciennement,"fahagolan-tany,fahagola","anciently,ancient,archaïque"
année entière,herintaona ngarangidina,whole year
année (une),"herintaona,taona","season (a),year (a)"
an (un),"herintaona,taona","season (a),year (a)"
août,aogositra,august
après-demain,afakampitso,day after tomorrow
après-midi,"folakandro,tolakandro",afternoon
après-midi (un),hariva,"afternoon (an),evening (an)"
aujourd'hui,"akiheo,androany",today (past part of)
auparavant,"aloha,rahateo","advance (in),ahead,already,beforehand,before,first,heretofore,previously,previous"
aurore (à l'),mazava atsinanana,daybreak
aurore,mazava ratsy,daybreak
autrefois,taloha,formerly
avance (à),rahateo,"advance (in),already,beforehand,heretofore"
avance (d'),rahateo,"advance (in),already,beforehand,heretofore"
avant,"aloha,taloha","ahead,before,first,previously,previous"
avant-hier,afakomaly,day before yesterday
avril,"aprily,avrily",april
bientôt,"any ho any,rehefa","sometime,soon"
calendrier,kalandrie,calendar
cinq jours,hadimiana,five days
continuellement,"lalandava,mandrakariva","all the time,always,constantly,continually,perpetually"
crépuscule (au),maizim-bava vilany,dusk (at)
crépuscule,"andramody,manopy maizina,takariva","dusk,twilight"
date (une),"daty,marikandro",date (a)
d'avance,rahateo,"advance (in),already,beforehand,heretofore"
décembre,desambra,december
déclin du soleil (au),malo-dohasaha,evening (towards)
déjà,rahateo,"advance (in),already,beforehand,heretofore"
demain,rahampitso,tomorrow
depuis,hatra,"far,up"
depuis le temps que,hatrizay,"heretofore,since the time that"
depuis longtemps,hatrizay,"heretofore,since the time that"
dimanche,alahady,sunday
dix jours,hafoloana,ten days
époque (à cette),fahizay,"time (at that),times (in former),times (in those)"
époque de (à l'),faha~,time of (at the)
époque (une),"andro,vanim-potoana","day (a),epoch (an),period (a)"
éternellement,mandrakizay,forever
février,"febroary,fevrie,hatsiha,valasira",february
fois,indray mandeha,once
heure,adiny,hour
heure (une),"adim-pamantaranandro,ora",hour (an)
hier,"male,omaly",yesterday
huit jours,havaloana,eight days
instant (il n'y a qu'un),teo no ho eo,ago (a short time)
jadis,hatrizay,"heretofore,since the time that"
janvier,"janoary,valasira,zanvie",january
jeudi (un),alakamisy,thursday
jour de semaine,ankobanandro,"everyday,weekday"
jour (le grand),"antoandrobenanahary,antoandro","daylight (full/broad),day (the middle of the),daytime (the)"
jour (le),antoandro,"daylight (full/broad),daytime (the)"
jour non férié (un),andavanandro,"everyday,weekday (a)"
jour ordinaire (un),andavanandro,"everyday,weekday (a)"
jour ouvrable,ankobanandro,"everyday,weekday"
jour ouvrable (un),andavanandro,"everyday,weekday (a)"
jours (tous les),andavanandro,"everyday,weekday (a)"
jour (un),andro,"day (a),epoch (an),period (a)"
juillet,"hiahia,jolay",july
juin,"jiona,jona,lo-tsôa",june
jusqu'à,mandritra,"during,until"
jusqu'à,"hatra,mandraka","far,until,up"
longtemps (depuis fort),hatrizay hatrizay,"beginning (from the),time past (through all)"
longtemps (depuis),fahizay,"time (at that),times (in former),times (in those)"
lundi,"alatsinainy,tinainy",monday
mai,"hiahia,mey",may
mardi,talata,tuesday
mars,"hatsiha,hiahia,marsa,martsa,volamaka",march
mercredi,"alarobia,larobia","wednesday,wednesday"
midi,"antoandro,atoandrolahy,matsaña,miarimahamay,mitatao vovonana","daylight (full/broad),daytime (the),noon"
minuit,"mamatonalina,matoalina,matsalina,misasaka alina,vakimiralina","midnight,nighttime"
minute,minitra,minute
mois lunaire,fanjava,moon
mois prochain (le),volana ambony,month (next)
mois suivant (le),volana ambony,month (next)
mois (un),volana,month (a)
neuf jours,hasiviana,nine days
neuvaine,hasiviana,nine days
novembre,"novambra,volamitabe",november
nuit dernière (la),"halina,lahalina",night (last)
nuit (milieu de la),mamatonalina,"midnight,nighttime"
octobre,"oktobra,volamitafoa",october
pendant,mandritra,"during,until"
quand,"rahatrizay,rehefa","someday,when"
quatre jours,hefarana,four days
