Francais,Malagasy,Anglais
pervenche,vonenina,periwinkle
poivre,dipoavatra,pepper
poivrier,ferifery,pepper
pomme cajou,abiba,cashew apple
tamarinier (un),"kile,kily,madiro","tamarind (a),tamarind fruit,tamarind tree"
tamarin (un),"kile,kily,madiro","tamarind (a),tamarind fruit,tamarind tree"
thé (du),voafotsy,"infusion (an),tea"
thé,ravimboafotsy,"infusion,tea"
vanille (la),vanila,vanila
chimie,simia,chemistry
acide (un),"asidra,ranomahery","acid (an),vitriol"
actinium,ac,actinium
alambic,lalambika,still
aluminium,"al,viraty","aluminium,aluminum"
américium,am,americium
antimoine,"antimoanina,sb",antimony
argentan,nickel silver,argentan
argent,"ag,volafotsy",silver
argent (l'),vola,silver (the)
argon,"argôna,ar",argon
arsenic,arsenika,arsenic
atome (un),atôma,atom (an)
azote,"azaoty,azôty,nitirôzenina,n","nitrgen,nitrogen"
béryllium (le),be,beryllium (the)
bicarbonate,karibonetra,"bicarbonate,soda"
bismuth,bizimofo,bismuth
bore,b,boron
brome,br,bromine
bronze,"alimo,halimo,saba,varahina","brass,bronze,copper"
bronze (du),sabamena,bronze
caesium,cs,cesium
calcium,diontsokay,calcium
carbone,"c,dionariña,karbônina",carbon
charbon,arina,"charcoal,soot"
chaux (la),sokay,lime
chimique,simika,chemical
chlore,"cl,klôro",chlorine
chrome,"cr,krôma",chromium
cuivre blanc,fomahery,pewter
cuivre,"cu,saba,varahina","brass,copper"
curium,cm,curium
étain,sn,tin
étain (l'),firapotsy,tin (the)
fer-blanc,vifotsy,tinplate
fer,fe,iron
fer (le),vy,iron
fermium,fm,fermium
ferraille (la),vy,iron
fluor,f,fluorine
gaz carbonique,eton' arina,carbon dioxide
gaz,gaza,gas
gaz rare,etona hamatra,gas (rare)
graphite,"anjamanga,manjarano",graphite
hydrargyre,darajy,hydrargyrum
hydrogène,h,hydrogen
hydrogene,hidirôzenina,hydrogen
iode,"iôdy,i",iodine
laiton (du),sabamavo,brass
lanthane,la,lanthanum
lutecium,lu,lutetium
maillechort,nickel silver,maillechort
manganèse,"manganezy,mn",manganese
manganin,manganìna,manganin
melchior,nickel silver,melchior
mercure,"hg,volavelona","mercury,quicksilver"
métal en général (le),vy,iron
métal,metaly,metal
molybdène,mo,molybdenum
néodyme,nd,neodymium
nickel,"nikela,ni",nickel
nobélium,no,nobelium
octane,valoana,octane
or,volamena,gold
oxygène,o,oxygen
pétrole,solitany,"kerosene,oil,paraffin"
phosphore,"fôsfôrô,p",phosphorus
phosphorique (acide),aforano,"phosphoric acid,sulphuric acid"
pile,pila,battery
platine,"platinina,pt,volamahery",platinum
plomb (le),firamainty,lead (the)
plomb,"firaka,firake,pb,tokonengy","lead,pewter"
praséodyme,pr,praseodymium
prométheum,pm,promethium
radium,ra,radium
silicium,"silisiôma,si",silicon
soude,karibonetra,"bicarbonate,soda"
soufre,"solifara,s",sulfur
suie,arina,"charcoal,soot"
sulfurique (acide),aforano,"phosphoric acid,sulphuric acid"
table de mendeleiev (la),fisokajiana mendeleev,mendeleev table (the)
table périodique des éléments (la),fisokajiana miherina,periodic table of the elements (the)
tantale,"tantaly,ta",tantalum
tellure,te,tellurium
titane,"titana,ti",titanium
tungstène,w,tungsten
uranium,u,uranium
vert-de-gris,varahimaitso,verdigris
zinc (du),fanitso,zinc
zinc,zn,zinc
zirconium,"zirkôniôma,zr",zirconium
coiffures,fandram-bolo,hairstyles
mis en touffes,voabango,plaited
tondre les cheveux (se faire),mihety,cut (to have one's hair)
tresse des cheveux (une),randrana,"braid (a),plait (a),tress of hair (a)"
tresser,mandrandrana,"braid (to),plait (to),twist (to)"
croyances,finoana,beliefs
âme,avelo,"ghost,soul,spirit"
âme,ambiroa,"ghost,soul"
amulette,"hazary,ody","charm (a),charm,enchantment (an),fetish,medicine"
amulette (une),famato,charm (a)
ancêtre (un),andriamanitra,"ancestor (an),god (a)"
animal mythique,"fananimpitoloha,kinaoly,songomby,tokandia","hydra,mythical animal"
arrêter (action d'),fanahonana,charm (kind of a)
balance,adimizana,libra
bélier,alahamady,aries
cancer,asorotany,cancer
capricorne,adijady,capricorn
charme,ody,"charm,fetish,medicine"
charme pour se dérober à la vue (un),fanjambana,charm to blind the eyes (a)
charme (sorte de),fandresilahy,charm (kind of)
charme (un genre de),fanalavavy,charm (a kind of)
circoncision,"hasoavan-jaza,savatse,tapakanake",circumcision
cléromancie (une),"sikidy,sikily",divination (a)
contrepoison (un),famono mosavy,disenchantment (a)
coquille,fimpy,shell
créateur,mpahary,creator
deviner (action de),faminaniana,prophecy (a)
dieu,nanahary,god
dieu,zanahary,"god (a),god"
dieu (un),"andriamanitra,zanahary","ancestor (an),god (a),god"
divination (une),"sikidy,sikily",divination (a)
dragon,dragona,dragon
empêche (charme qui),fanahonana,charm (kind of a)
endommagement (un),famosaviana,"spell (act of casting a),witchcraft (a)"
ensorceler (action d'),famosaviana,"spell (act of casting a),witchcraft (a)"
ensorceler,mamosavy,"bewitch,practice withcraft (to practice),spell (to cast a)"
fantôme,matoatoa,ghost
fantôme,ambiroa,"ghost,soul"
fantôme (un),"angatra,lolo","demon (a),ghost (a),phantom (a),spirit (a)"
fétiche,ody,"charm,fetish,medicine"
firmament,lanitra,"heaven,sky"
gémeaux,adizaoza,gemini
huit os (les),taolambalo,eight bones (the)
hydre,fananimpitoloha,"hydra,mythical animal"
maléfice (jeter un),mamosavy,"bewitch,practice withcraft (to practice),spell (to cast a)"
maléfice (un),famosaviana,"spell (act of casting a),witchcraft (a)"
médicament,ody,"charm,fetish,medicine"
monstre fabuleux (un),trimobe,giant (a mythical)
obstacle (un),fanahonana,charm (kind of a)
philtre (sorte de),fandresilahy,charm (kind of)
philtre (un),famato,charm (a)
poissons,alohotsy,pisces
